id,rating,comment,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Другое
3888828,5,благодарить оперативность,0,0,0,0,1,0
3889213,5,спасибо оперативный решение проблема,0,0,0,1,0,0
3889473,1,оперативный работа,0,0,0,1,0,0
3889502,5,оперативный решение проблема,0,0,0,0,1,0
3889542,5,первый решить вопрос быстро,0,0,0,1,0,0
3889783,5,отлично спасибо,1,0,0,0,0,0
3889827,5,спасибо татьяна,0,0,1,0,0,0
3889956,5,хороший мастер свет спасибо,0,0,1,0,0,0
3890030,5,спасибо починить домофон,0,0,0,0,1,0
3890209,5,отличный работа,1,0,0,0,0,0
3890231,5,спасибо помощь,0,0,0,0,1,0
3890239,5,обычный услуга цена правда завысить около ти минута работа,1,0,0,0,0,0
3890275,5,отличный работа дверь закрываться плавно спасибо,0,0,0,0,1,0
3890393,5,всё супер быстро спасибо,1,0,0,1,0,0
3890484,5,оперативно спасибо,0,0,0,0,1,0
3890486,5,супер,0,0,0,0,1,0
3890517,5,молодец оперативно,0,0,0,0,1,0
3890604,5,вопрос решиться быстро спасибо,0,0,0,1,0,0
3890678,5,александр спасибо объяснение причина бульканье,0,0,1,0,0,0
3890716,5,спасибо всё быстро,0,0,0,0,1,0
3890985,5,спасибо исправить ошибка,0,0,0,0,1,0
3891095,5,мастер сделать всё очень быстро аккуратно,0,0,1,0,0,0
3891325,5,очень вежливый профессиональный мастер устранить всё недочёт оперативно качественно просто отлично спасибо,0,0,1,0,0,0
3891380,5,иван спасибо,0,0,1,0,0,0
3891477,5,среагировать минута,0,0,0,0,1,0
3891489,5,спасибо специалист роман который помочь решить вопрос очень грамотный вежливый специалист,0,0,1,0,0,0
3891568,5,спасибо день электрик решить проблема,0,0,1,0,0,0
3891612,5,лифт пола помыть спасибо уборка ждать установка зеркало лифт,0,0,1,0,0,0
3891850,5,всё верно спасибо,0,0,0,0,1,0
3891871,5,спасибо всё бистро устранить,0,0,0,0,1,0
3891943,4,спасибо вроде стать хороший,1,0,0,0,0,0
3892115,5,спасибо ваш быстрый профессиональный помощь,0,0,1,1,0,0
3892189,5,всё быстро смотреть поздний час,0,0,0,1,0,0
3892432,5,ответ предоставить оперативно полный объём,0,0,0,1,0,0
3892474,5,спасибо напор стать отличный,0,0,1,0,0,0
3892548,5,спасибо правда всё убрать стать прям чисто мочь ещё отмыть пятно очень признательный возможно нужный тряпка,0,0,1,0,1,0
3892591,5,спасибо мастер сергей чёткий работа,0,0,1,0,0,0
3892629,4,очень надеяться день встать снова,1,0,0,0,0,0
3892632,5,благодарить очень оперативно,0,0,0,0,1,0
3892659,5,быстро мастер спасибо,0,0,1,0,0,0
3892748,5,вопрос решить быстро спасибо мастер фото выполнить работа приложить позвонить,0,0,1,1,0,0
3892858,5,главное проблема решить спасибо,0,0,0,0,1,0
3892909,5,спасибо всё сделать быстро очень вежливый сотрудник,0,0,1,0,1,0
3892910,5,спасибо решить проблема оперативно,0,0,0,1,1,0
3893074,5,оперативно внимательно вежливый спасибо,0,1,0,1,0,0
3893110,5,спасибо всё оперативно сделать,0,0,0,1,0,0
3893437,5,распечатать бумажный квитанция хотеть поблагодарить работник расчётный отдел разьяснение квитанция найти электронный вариант квитанция приложение самолёт ук,0,0,1,0,0,0
3893476,5,заявка быстрый принять работа проблема решить спасибо,0,1,0,1,0,0
3893532,5,молодец быстро,0,0,0,1,1,0
3893860,5,спасибо весь благо процветание ваш компания,0,0,0,0,1,0
3893967,5,спасибо электрик,0,0,1,0,0,0
3894064,5,всё грамотно полочка объяснить,0,1,0,0,0,0
3894130,5,благодарить быстро качественно оказать услуга,0,1,0,1,0,0
3894191,5,спасибо оперативный решение вопрос,0,0,0,1,0,0
3894326,5,спасибо быстро качественно,0,1,0,1,0,0
3894440,5,спасибо ремонт,0,0,1,0,0,0
3894680,5,благодарить менеджер татьяна,0,0,1,0,0,0
3894684,5,благодарить менеджер,0,0,1,0,0,0
3894714,5,сотрудник молодец,0,0,1,0,0,0
3894893,5,оперативно качественно браво,0,1,0,1,0,0
3894902,5,спасибо оперативно качественно решить проблема,0,1,0,1,0,0
3895042,5,подниматься сегодня утро запах спасибо,0,0,0,0,1,0
3895051,5,специалист проконсультировать сориентировать срок,0,0,1,0,0,0
3895519,5,быстро оперативно,0,0,0,1,0,0
3895624,5,оперативно пока работать,0,0,0,1,0,0
3895634,5,лик спасибо оперативный ответ подробный разъяснение работа приложение,0,0,1,0,0,0
3895794,5,отличный сотрудник,0,0,1,0,0,0
3895805,5,спасибо мастер олег,0,0,1,0,0,0
3895874,5,точный оценка нужно пережить зима понять хороший стать,1,0,0,0,0,0
3895925,5,спасибо оперативность оценить песочек очень хороший чистый ребёнок очень рада песочница достаточный количество песок,0,1,0,1,0,0
3896179,5,быстро качественно,0,1,0,1,0,0
3896191,5,спасибо всё решить быстро,0,0,0,1,0,0
3896230,5,оперативно быстро,0,0,0,1,0,0
3896480,5,оказать услуга приобретение ключ ещё установить приложение ук самолёт,0,0,1,0,1,0
3896509,5,приходить мастер всё отрегулировать спасибо,0,0,1,0,0,0
3896614,5,оперативно,0,0,0,1,0,0
3896717,5,спасибо консультация,0,0,0,0,1,0
3896735,5,парень установщик отработать упаковка очень тк полный комплект фурнитура отсутствовать комплект нижний ответка прийтись колхозить отпиливать кусок старый ответка также шуруп отсутствовать,1,0,0,0,0,0
3896818,5,спасибо всё,1,0,0,0,0,0
3896822,5,всё около,1,0,0,0,0,0
3896870,5,сразу,1,0,0,0,0,0
3896928,5,ответ получить спасибо результат стать уточнение понять,0,1,0,0,0,0
3896945,5,благодарить обратный связь возможность добавить необходимый документ лк приложение самый решить вопрос посещать клиентский офис звонок вежливый доброжелательный отношение,0,1,1,0,0,0
3896981,5,прислать следующий день,0,0,0,0,0,1
3897000,5,очень быстро отреагировать работа качественный,0,1,0,1,0,0
3897003,1,устранить,0,0,0,0,0,1
3897016,5,спасибо подсказка внимательный отношение,0,0,1,0,1,0
3897067,5,сантехник связаться сразу вопрос решить,1,0,1,0,0,0
3897113,5,спасибо техника,0,0,1,0,0,0
3897118,5,благодарить всё отлично,0,0,0,0,1,0
3897201,5,сантехник,0,0,1,0,0,0
3897252,5,подсказать обратиться решение вопрос,0,0,0,0,1,0
3897281,5,спасибо информация татьяна молодец,0,0,1,0,0,0
3897654,5,электрик прийти день обращение снять показание счеткик работать сотрудник вежливый благодарить,0,1,1,0,0,0
3897730,5,всё сделать быстро качественно,0,1,0,1,0,0
3897831,5,напор стать гораздо сильный небо земля быстро понять причина слабый напор спасибо,0,0,0,0,1,0
3898045,5,спасибо ваш работа вычислить вырвать предыдущий доводчик наказать спасибо,0,0,0,0,1,0
3898232,5,открыть спасибо,1,0,0,0,0,0
3898417,5,быстро позвонить прислать всё сделать спасибо,0,0,0,1,1,0
3898427,5,молодец очень оперативно прям минус головной боль,0,0,0,1,0,0
3898572,5,очень быстро качественно спасибо,0,1,0,1,0,0
3898709,5,спасибо разъяснение оперативность,0,0,0,1,1,0
3898761,5,сотрудник работать мгновенно обрабатываться заявка ответ поступать сразу всё решаться отличный сервис очень приятно,0,1,1,0,0,0
3898762,5,быстро понятно,0,0,0,1,0,0
3899012,5,просто удобно также быстро экономия время ресурс,0,0,0,1,1,0
3899842,5,отлично всё сделать бал,0,0,0,0,1,0
3899902,4,четвёрка выслать второй нужный квитанция,1,0,0,0,0,0
3900150,5,спс,1,0,0,0,0,0
3900408,5,спасибо всё получить,0,0,0,0,1,0
3900525,5,спасибо очень оперативно,0,0,0,1,0,0
3900539,5,благодарить мастер всё объяснить дать рекомендация,0,0,1,0,0,0
3900559,5,ребята молодец,0,0,1,0,0,0
3900602,5,спасибо оперативный решение,0,0,0,1,0,0
3900886,5,оказание услуга сантехник претензия отключение происходить регулярно крайне негативно сказываться впечатление компания самолёт ук,0,0,1,0,0,0
3901101,5,специалист компетентно объяснить необходимо сделать случай игорь золотухин,0,0,1,0,0,0
3901168,5,быстро чётко,0,0,0,1,0,0
3901182,5,всё,0,0,0,0,1,0
3901194,5,владимир грамотно здорово быстро всё сделать,0,0,1,0,0,0
3901238,5,отличный сервис,0,1,0,0,0,0
3901257,5,спасибо сервис работать это самый главное,0,1,0,0,0,0
3901356,5,всё отлично позвонить ответ предоставить,0,0,0,0,1,0
3901414,5,заявка отработать течение ти минута благодарить оперативность,0,0,0,1,0,0
3901446,5,оперативный решение спасибо,0,0,0,1,0,0
3901616,5,татьяна оперативно решить вопрос очень отзывчивый,0,0,1,0,0,0
3901836,5,всё гуд,1,0,0,0,0,0
3901987,5,поприветствовать предложить присесть всё быстро оформить спасибо,1,0,0,1,0,0
3902000,4,спасибо убрать надпись думать аккуратный,1,0,0,0,0,0
3902088,5,всё быстро чётко,0,1,0,0,0,0
3902093,5,добрый день заявка выполнить качественно сотрудник грамотный очень вежливый спасибо,0,1,1,0,0,0
3902383,5,спасибо помощь подключиться инженер,0,0,1,0,0,0
3902482,5,замечательный мастер всё очень оперативно качественно добрый человек золотой рука спасибо,0,0,1,0,0,0
3902496,5,благодарить хотя давно просить получать эл почта почему ещё бумажный получать,0,0,0,0,1,0
3902529,5,вопрос решить оперативно спасибо,0,0,0,1,0,0
3902558,5,молодец,1,0,0,0,0,0
3902632,5,всё около спасибо,1,0,0,0,0,0
3902786,5,красавец быстро оперативно очень приятно общение,0,0,1,1,0,0
3902795,5,хороший обслуживание,0,1,0,0,0,0
3903349,5,спасибо оперативно поставить ограничитель,0,0,0,1,0,0
3903374,4,звезда снять отличаться цвет плитка,1,0,0,0,0,0
3903406,5,спасибо быстро оперативно,0,0,0,1,0,0
3903436,5,горячий вода появиться,1,0,0,0,0,0
3903626,5,всё отлично бистро устранить мастер хороший,0,0,1,1,0,0
3903666,5,спасибо проблема решить,0,0,0,0,1,0
3903709,5,спасибо оперативность грамотный развернуть ответ,0,1,0,1,0,0
3903741,5,спасибо заявка выполнить быстро качественно,0,1,0,1,0,0
3903997,5,выполнить быстро качественно,0,1,0,1,0,0
3904073,5,всё понятно объяснить,0,0,0,0,1,0
3904265,5,спасибо василий проделать работа,0,0,1,0,0,0
3904421,5,благодарить помочь никто мочь решить проблема ещё спасибо,0,0,0,0,1,0
3904489,5,очень оперативно менеджер связаться ответить вопрос отправить необходимый документ благодарить,0,0,1,1,0,0
3904503,5,быстро отреагировать запустить,0,0,0,1,0,0
3904606,5,спасибо оперативно принять заявка отремонтировать лифт работать исправно,0,1,0,1,1,0
3904693,5,оперативно надёжно,0,1,0,1,0,0
3904847,5,спасибо услуга оказать очень оперативно удобный формат заказать ключ выходной понедельник всё готовый сотрудник вежливый внимательный,0,0,1,1,0,0
3904911,5,всё супер очень оперативно профессионально спасибо,0,0,0,1,1,0
3905059,5,всё быстро качественно,0,1,0,1,0,0
3905086,5,выполнять заявка чудо оперативно выполнить спасибо,0,0,0,1,1,0
3905337,5,спасибо ждать бумажный платёжный поручение следующий месяц,0,0,0,0,1,0
3905720,5,хороший мастер свет нужно выдать премия,0,0,1,0,0,0
3905786,5,спасибо электрик оперативно прийти,0,0,1,1,0,0
3906032,5,хотеться каждый месяц присылать квитанция почта приложение,0,0,0,0,0,1
3906048,5,спасибо электрик ситуация простой обнаружить проблема смочь решить,0,0,1,0,0,0
3906126,5,сантехник молодец устранить утечка вода выше этаж перестать течь вода молодец,0,0,1,0,1,0
3906380,5,спасибо работа оперативность,0,0,0,1,1,0
3906407,4,жалко оплата счёт банк приложение отображаться информация оплата приходиться загружать квитанция дополнительно подтверждать факт оплата,0,0,0,0,0,1
3906752,5,спасибо жаль намусорить,0,0,0,0,1,0
3906789,5,спасибо закрываться,0,0,0,0,1,0
3906922,3,сразу заявка выполнить забывать периметр несколько контейнер пакет пакет кончаться быстро значит хозяин убирать собака,0,0,0,0,0,1
3906976,5,спасибо оперативность мир процветание ваш компания самолёт,0,0,0,1,1,0
3907117,5,выше похвала,0,0,0,0,1,0
3907364,5,очень вежливый грамотный сотрудница,0,0,1,0,0,0
3907480,5,спасибо просить загружать квитанция личный кабинет дополнительный запрос,1,0,0,0,0,0
3907589,5,всё прекрасно,0,0,0,0,1,0
3907672,5,всё быстро качественно спасибо,0,1,0,1,0,0
3907792,5,консультация провести профессионально спасибо разъяснение рекомендация,0,1,0,0,0,0
3907928,5,спасибо починить дверь зайти проблема дверь работать отлично,0,0,1,0,0,0
3908011,5,спасибо работа,0,0,0,0,1,0
3908429,5,спасибо быстрый решение вопрос лояльность мастер подбор время,0,0,1,1,0,0
3908490,4,спасибо обратный связь надеяться приложение информация обновиться оплата пройти,1,0,0,0,0,0
3908579,5,спасибо чёткость быстрота,0,1,0,1,0,0
3908590,5,консультация настройка прибор выполнить очень быстро качественно профессионально спасибо,0,1,0,1,0,0
3908772,5,мастер выполнить работа быстро чисто всё отлично,0,0,1,0,0,0
3908843,5,самый хороший ук спасибо помощь быстрый работа мгновенный выполнение,0,0,0,1,1,0
3908929,5,очень быстро,0,0,0,1,0,0
3909086,5,спасибо оперативный ответ,0,0,0,1,0,0
3909146,5,очень удобно получать электронный квитанция давно пора,0,0,0,0,1,0
3909271,5,оперативно выполнить заявка спасибо,0,0,0,1,0,0
3909398,5,спасибо специалист,0,0,1,0,0,0
3909430,4,жалко заранее предупреждать проблема узнать новость написать раздел формирование квитанция заявка ук сразу понять написать,0,0,0,0,0,1
3909517,5,благодарить работа,0,0,0,0,1,0
3909595,5,всё решить перезвонить спасибо,0,0,0,0,1,0
3909682,5,очень быстро всё сделать,0,0,0,1,0,0
3909787,5,всё отлично жаль сотрудник компания дать услуга действовать скидка,0,0,0,0,1,0
3909863,5,очень приятный менеджер консультант который всё правильно подробно объяснять,0,0,1,0,0,0
3909888,5,спасибо всё супер,0,0,0,0,1,0
3910052,5,специалист прийти очень быстро всё быстро исправить спасибо,0,0,1,0,0,0
3910060,5,всё супер вопрос решить быстро,0,0,0,1,0,0
3910089,5,очень надеяться квитанция дублироваться приложение оперативно быстро поступить,0,0,0,0,0,1
3910233,5,спасибо девочка оператор,0,0,1,0,0,0
3910259,5,менеджер елизавета очень быстро решить вопрос спасибо,0,0,1,1,0,0
3910269,5,спасибо придумать пожалуйста способ это избежать будущее,0,0,0,0,0,1
3910346,5,спасибо работа выполнить качественно срок,0,1,0,1,0,0
3910406,5,прям молодец порадовать всё чётко,0,0,0,0,1,0
3910434,5,алексей профессионал свой дело быстро найти проблема устранить спасибо,0,0,1,0,0,0
3910685,5,подтверждать вчера вечером обнаружить устранить спасибо,0,0,0,0,0,1
3910836,5,вопрос решить,1,0,0,0,0,0
3910908,5,спасибо очень быстро сработать,0,0,0,1,1,0
3910977,5,добрый день спасибо разъяснение весь хороший,0,0,0,0,0,1
3911065,5,молодец электрик оперативно решить проблема,0,0,1,0,0,0
3911104,5,быстро аккуратно благодарить,0,1,0,1,0,0
3911134,5,спасибо пусть убирать часто,0,0,0,0,1,0
3911142,5,очень оперативно,0,0,0,1,0,0
3911182,5,всё вежливый информативный,0,0,0,1,1,0
3911339,5,спасибо забота наш здоровье экология это замечательный,1,0,0,0,0,0
3911355,5,работа сотрудник офис ук евгения,0,0,1,0,0,0
3911421,5,спасибо работа всё быстро качественно,0,1,0,1,0,0
3911514,5,спасибо проблема решить очень быстро,0,0,0,1,0,0
3911553,5,менеджер наталья дежурный сантехник больший благодарность оперативный решение проблема,0,0,1,1,0,0
3911570,5,спасибо оперативно полный мера ответить вопрос,0,0,0,1,1,0
3911586,5,быстро качественно устранить наш засор,0,1,1,1,0,0
3911663,5,спасибо всё качественно профессионально,0,1,0,0,0,0
3911763,5,быстро качественно спасибо,0,1,0,1,0,0
3911815,5,отличный функция спасибо,1,0,0,0,0,0
3911905,5,спасибо выполнить работа,0,0,0,0,1,0
3911957,5,очень оперативно благодарить,0,0,0,1,0,0
3911983,5,оперативно чётко сделать аккуратно прибраться работа,0,1,0,1,0,0
3912007,5,спасибо александр профессионализм быстрый работа,0,0,1,1,0,0
3912121,5,всё отлично сделать быстро дорого,0,0,0,1,0,0
3912199,5,спасибо менеджер страхование евгения гущина помощь оформление страховка настоящий профессионал свой дело исчерпывающий ответить всё интересовать вопрос,0,0,1,0,0,0
3912225,5,оперативно профессионально спасибо,0,0,0,1,0,0
3912227,5,специалист связываться заявка всё починить спасибо,0,0,1,0,1,0
3912230,5,течение час создание заявка всё устранить спасибо,0,0,0,1,0,0
3912246,5,ремонт выполнить,1,0,0,0,0,0
3912277,5,быстро решить проблема спасибо,0,0,0,1,0,0
3912521,5,работа мастер выполнить отлично проблема решиться личный визит ук,0,0,1,0,0,0
3912769,5,спасибо оксана петрина,0,0,1,0,0,0
3912975,5,всё оперативно спасибо,0,0,0,1,0,0
3913158,5,добрый день спасибо вопрос решить,1,0,0,0,0,0
3913176,5,всё быстро чётко спасибо,0,0,0,1,0,0
3913279,5,очень ответственный девушка ук,0,0,1,0,0,0
3913316,5,отлично всё работать,0,0,0,0,1,0
3913442,5,благодарность мастер сделать быстро качественно премия ренат,0,0,1,0,0,0
3913486,5,прислать вовремя заранее позвонить уточнить удобный время отличный мастер всё сделать быстро аккуратно,0,0,1,1,0,0
3913509,5,всё чётко объяснить вопрос остаться,0,0,0,0,1,0
3913566,5,вроде хороший слава бог,1,0,0,0,0,0
3913676,5,проблема решить быстро оперативно,0,0,0,1,0,0
3913971,5,очень быстро вежливый,0,0,1,1,0,0
3913976,5,второй специалист всё отлично решить спасибо,0,0,1,0,0,0
3914097,5,благадарить специалист,0,0,1,0,0,0
3914351,5,спасибо всё сделать супер,0,0,0,0,1,0
3914367,5,комод убрать спасибо оперативный решение,0,0,0,1,1,0
3914531,5,хотеть выразить особый благодарность татьяна проявить интерес вопрос,0,0,1,0,0,0
3914571,5,очень быстро отреагировать устранить проблема,0,0,0,1,1,0
3914622,5,всё дать правильно внести спасибо,0,0,0,0,0,1
3914767,5,спасибо оперативный помощь,0,0,0,1,0,0
3914795,5,спасибо ключ рабочий,1,0,0,0,0,0
3914807,5,круто быстро спасибо,0,0,0,1,0,0
3914918,5,быстро эффективно,0,0,0,1,0,0
3915053,5,отличный сантехник,0,0,1,0,0,0
3915342,5,оперативно благодарить,0,0,0,1,0,0
3915543,5,быстро среагировать решить проблема спасибо,0,0,0,1,1,0
3915644,5,быстро сделать,0,0,0,1,0,0
3916307,5,добрый день вопрос решить очень быстро благодарить работа оперативность,0,0,0,1,0,0
3916394,5,всё очень доступно всё объяснить,0,0,0,0,1,0
3916525,5,мастер всё рука спасибо,0,0,1,0,0,0
3916845,5,спасибо пока сломать,0,0,0,0,0,1
3917220,5,всё очень быстро качественно сделать сантехник сергей,0,1,1,1,0,0
3917445,5,спасибо очень внимательно клиентоориентированность высокий уровень,0,1,1,0,1,0
3917634,5,отличный обслуживание,0,0,1,0,0,0
3917644,5,всё решить,1,0,0,0,0,0
3918118,5,быстро выявить ошибка показание стать делать убыток позвонить уточнить решить всё спасибо меняться хороший сторона,0,0,1,1,0,0
3918621,5,ключ работать,1,0,0,0,0,0
3918647,5,спасибо выполнить работа быстро аккуратно,0,1,0,1,0,0
3918748,5,всё быстро качественно договориться спасибо,0,1,0,1,0,0
3919084,5,самый вежливый работник,0,0,1,0,0,0
3919087,5,чётко оперативно,0,0,0,1,0,0
3919099,5,спасибо выписка счёт сумма подкрепить приложение,0,0,0,0,0,1
3919231,5,достаточно быстро спасибо,0,0,0,1,0,0
3919253,5,оперативно устранить дать консультация,0,0,0,1,0,0
3919349,5,спасибо специалист оперативность профессионализм,0,1,0,1,0,0
3919367,5,напор стать хороший спасибо,0,0,0,0,1,0
3919407,5,благодарить качественный оперативный работа сотрудник ук хороший пожелание,0,1,1,1,0,0
3919607,5,всё отлично спасибо быстрый устранение проблема,0,0,0,1,1,0
3919776,5,оперативно среагировать прийти количество строитель помочь убрать весь вода,0,0,1,1,0,0
3919877,5,виталик молодец,0,0,1,0,0,0
3920112,5,спасибо всё быстро починить спасибо хороший работа,0,0,0,1,0,0
3920141,5,протечка смеситель ванная мастер прийти течение пол час поменять прокладка вопрос решить,1,0,1,0,0,0
3920353,5,самый хороший клиентский менеджер идеально решать всё вопрос,0,0,0,0,1,0
3920384,5,быстро устранить проблема,0,0,0,1,0,0
3920419,5,заявка выполнить мгновенно,0,0,0,1,0,0
3920519,5,спасибо татьяна быстро понятно всё объяснить,0,0,1,1,0,0
3920546,5,быстрый реакция обращение данный момент протечка,0,1,0,1,0,0
3920898,5,вопрос решить оперативно спасибо сантехник менеджер сожаление спросить имя,0,0,1,1,0,0
3920982,5,выполнить быстро качественно починить перила,0,1,0,1,0,0
3921006,5,спасибо оперативно отработать заявка,0,0,0,1,0,0
3921008,5,очень грамотный специалист устранить моментально,0,0,1,1,0,0
3921012,5,спасибо оперативный уборка,0,0,0,1,0,0
3921069,5,проблема решить дверь взаимодействие овд игнорировать,0,0,0,0,0,1
3921087,5,спасибо очень быстро оперативно мастер классный отлично знать свой работа,0,0,1,1,0,0
3921135,4,звезда прийтись действовать руководство поэтому четыре,1,0,0,0,0,0
3921169,5,сантехник прийти течение минута вежливый проблема разрешить,0,0,1,1,0,0
3921394,5,спасибо сегодня возвращаться домой запах почувствовать,0,1,0,0,0,0
3921414,5,электрик прибежать оперативно отключить сигнал пожарный тревога,0,0,1,1,0,0
3921610,5,всё быстро оперативно спасибо,0,0,0,1,0,0
3921850,4,проблема устранить сообщить запрос сколько потребоваться время её решение,1,0,0,0,0,0
3921888,5,спасибо прямой связь специалист который смочь устранить неисправность,0,0,1,0,0,0
3921907,5,проблема решить всё работать,1,1,0,0,0,0
3922048,5,день звонить занятый руль извинить вечером прислать домой всё пересмотреть проверить ваш информация спасибо всё понятно всё каждый вопрос ответить спасибо,0,0,0,0,1,0
3922180,5,спасибо всё нормально работать,0,0,0,0,1,0
