id,rating,comment,categories,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Другое
3850118,1,"спасибо за  быстрый ответ! 


",Нравится скорость отработки заявок,0,0,0,1,0,0
3852179,5,Огромное спасибо вам от всего подъезда!!!   ))))),"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3854073,5,Все отлично ,Вопрос решен,1,0,0,0,0,0
3856028,1,свершилось,Другое,0,0,0,0,0,1
3859764,5,Спасибо мастеру ,Нравится качество работы сотрудников,0,0,1,0,0,0
3859780,5,"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3860248,5,"Среагировали быстро, благодарю ","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3862448,5,Отличный мастер!,Нравится качество работы сотрудников,0,0,1,0,0,0
3863351,5,"Спасибо! По крайней мере, по ночам пока шума не слышно.",Понравилось выполнение заявки,0,0,0,0,1,0
3863609,5,Быстро ,Нравится скорость отработки заявок,0,0,0,1,0,0
3866829,5,Спасибо за своевременное выполнение заявки...,Нравится скорость отработки заявок,0,0,0,1,0,0
3866867,5,все сделали быстро. спасибо ,Нравится скорость отработки заявок,0,0,0,1,0,0
3868883,5,всё отлично 👍,Вопрос решен,1,0,0,0,0,0
3872124,5,"Большое спасибо Александру,за оперативность и профессионализм ",Нравится качество работы сотрудников,0,0,1,0,0,0
3873692,5,оперативно и качественно. спасибо ,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3875262,5,"благодарю, всего доброго!",Вопрос решен,1,0,0,0,0,0
3877334,3,К мастеру вопросов нет.  ,Нравится качество работы сотрудников,0,0,1,0,0,0
3877901,5,"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",Нравится качество работы сотрудников,0,0,1,0,0,0
3878088,5,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ","{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3878555,5,спасибо большое! надолго ли🙄,Вопрос решен,1,0,0,0,0,0
3879856,5,Всё очень четко организовано! Большое спасибо за работу!,Понравилось выполнение заявки,0,0,0,0,1,0
3880345,5,Спасибо Вам большое и за дверь и за номера квартир!,Понравилось выполнение заявки,0,0,0,0,1,0
3880717,3,снимаю звезду за первую отписку без выполнения работ,Другое,0,0,0,0,0,1
3881004,5,"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ","{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3881460,5,Спасибо! Все заработало ,Понравилось выполнение заявки,0,0,0,0,1,0
3881636,5,"спасибо, решили мой вопрос на месте в офисе ","{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3882840,5,"Спасибо больше Ольге Птушкине, за проделанную работу! ",Нравится качество работы сотрудников,0,0,1,0,0,0
3883200,5,"всё сделали хорошо, починили вовремя. наверное, молодцы.","{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3883549,5,Супер! Спасибо!,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3883658,5,Отлично! Все выполнили как и обещали! ,Понравилось выполнение заявки,0,0,0,0,1,0
3883736,5,Очень оперативно. Спасибо большое ,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3883745,5,"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.","{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",1,0,1,0,0,0
3884964,5,Умело подкрутили редукторы давления. Молодец!,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3885089,5,"все хорошо,дверь практически бесшумно закрывается",Понравилось выполнение заявки,0,0,0,0,1,0
3886150,5,"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам","{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",1,0,1,0,0,0
3886231,5,"быстро, чётко, без проблем. одно слово - мастер! ","{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",1,0,1,0,0,0
3886721,5,Работает. Спасибо!,Вопрос решен,1,0,0,0,0,0
3886923,5,"сегодня ездил, все исправно работает, спасибо!",Вопрос решен,1,0,0,0,0,0
3886937,5,"Спасибо большое, всё понятно.",Вопрос решен,1,0,0,0,0,0
3887002,5,Татьяна спасибо ❤️,Нравится качество работы сотрудников,0,0,1,0,0,0
3887203,5,На вопрос ответили. Крепления нельзя повесить в колясочной,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3887228,5,Большое спасибо!,Вопрос решен,1,0,0,0,0,0
3887353,5,Лучший ,Вопрос решен,1,0,0,0,0,0
3887392,5,спасибо за то что быстро отреагировали,Нравится скорость отработки заявок,0,0,0,1,0,0
3887422,5,"Сервис на высоте, мастер - профессионал","{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3887606,1,ок ,Другое,0,0,0,0,0,1
3887614,2,Надолго ли(,Другое,0,0,0,0,0,1
3887743,5,Спасибо. Все работает,Вопрос решен,1,0,0,0,0,0
3887844,5,"заявка выполнена, спасибо.",Нравится качество выполнения заявки,0,1,0,0,0,0
3887922,5,Дверь закрывается намного лучше.,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3888009,5,Спасибо за быстрое реагирование!!!,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3888318,5,"Оперативно сработали, благодарю.",Нравится скорость отработки заявок,0,0,0,1,0,0
3888354,5,"Спасибо сантехнику Алексею, все сделано качественно ",Нравится качество работы сотрудников,0,0,1,0,0,0
3888539,5,"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!","{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3888591,5,Очень оперативно и никуда не пришлось ходить.,Нравится скорость отработки заявок,0,0,0,1,0,0
3888606,5,Проблема решена.,Вопрос решен,1,0,0,0,0,0
3888633,5,Очень оперативно отреагировали! Спасибо!,Нравится скорость отработки заявок,0,0,0,1,0,0
3888794,5,"оперативно, качественно, вопросов не возникло. Спасибо.",Нравится скорость отработки заявок,0,0,0,1,0,0
3888828,5,Благодарю за оперативность!,Понравилось выполнение заявки,0,0,0,0,1,0
3889213,5,спасибо за оперативное решение проблемы. ,Нравится скорость отработки заявок,0,0,0,1,0,0
3889473,1,Оперативная работа,Нравится скорость отработки заявок,0,0,0,1,0,0
3889502,5,"оперативное решение проблемы! 
",Понравилось выполнение заявки,0,0,0,0,1,0
3889542,5,Первый раз вы решили вопрос быстро ,Нравится скорость отработки заявок,0,0,0,1,0,0
3889783,5,отлично спасибо ,Вопрос решен,1,0,0,0,0,0
3889827,5,"спасибо большое, Татьяна.",Нравится качество работы сотрудников,0,0,1,0,0,0
3889956,5,Лучший мастер на свете 🥰Спасибо большое 🙏,Нравится качество работы сотрудников,0,0,1,0,0,0
3890030,5,"Спасибо большое, что починили домофон. ",Понравилось выполнение заявки,0,0,0,0,1,0
3890209,5,Отличная работа,Вопрос решен,1,0,0,0,0,0
3890231,5,Спасибо огромное за помощь!,Понравилось выполнение заявки,0,0,0,0,1,0
3890239,5,"обычная услуга. Цена, правда, завышена (за около 10ти минут работы). ",Вопрос решен,1,0,0,0,0,0
3890275,5,отличная работа. теперь дверь закрывается плавно. спасибо. ,Понравилось выполнение заявки,0,0,0,0,1,0
3890393,5,Все супер быстро! Спасибо! ,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}",1,0,0,1,0,0
3890484,5,Оперативно) спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3890486,5,Супер,Понравилось выполнение заявки,0,0,0,0,1,0
3890517,5,"Молодцы, оперативно. ",Понравилось выполнение заявки,0,0,0,0,1,0
3890604,5,Вопрос решился быстро. Спасибо!,Нравится скорость отработки заявок,0,0,0,1,0,0
3890678,5,Александру спасибо за объяснение причины бульканья ! ,Нравится качество работы сотрудников,0,0,1,0,0,0
3890716,5,спасибо! всё быстро!,Понравилось выполнение заявки,0,0,0,0,1,0
3890985,5,Спасибо! Исправили мою ошибку,Понравилось выполнение заявки,0,0,0,0,1,0
3891095,5,мастер сделал все очень быстро и аккуратно,Нравится качество работы сотрудников,0,0,1,0,0,0
3891325,5,Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо ,Нравится качество работы сотрудников,0,0,1,0,0,0
3891380,5,"Иван, огромное спасибо вам ! ",Нравится качество работы сотрудников,0,0,1,0,0,0
3891477,5,Среагировали за 20 минут!!!!,Понравилось выполнение заявки,0,0,0,0,1,0
3891489,5,"Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист) ",Нравится качество работы сотрудников,0,0,1,0,0,0
3891568,5,спасибо! в тот же день электрик решил проблему.,Нравится качество работы сотрудников,0,0,1,0,0,0
3891612,5,"Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах",Нравится качество работы сотрудников,0,0,1,0,0,0
3891850,5,да все верно. спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3891871,5,спасибо всё бистро устранили ,Понравилось выполнение заявки,0,0,0,0,1,0
3891943,4,"Спасибо, вроде бы стало лучше. ",Вопрос решен,1,0,0,0,0,0
3892115,5,Спасибо большое за Вашу быструю и профессиональную помощь. ,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3892189,5,"Все быстро, не смотря на поздний час.",Нравится скорость отработки заявок,0,0,0,1,0,0
3892432,5,ответ был предоставлен оперативно и в полном объеме,Нравится скорость отработки заявок,0,0,0,1,0,0
3892474,5,"Спасибо огромное,  напор стал отличным!",Нравится качество работы сотрудников,0,0,1,0,0,0
3892548,5,Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3892589,5,сделали,Вопрос решен,1,0,0,0,0,0
3892591,5,Спасибо мастеру Сергею за четкую работу! ,Нравится качество работы сотрудников,0,0,1,0,0,0
3892629,4,"Наконец - то. Очень надеюсь, что через 2 дня он не встанет снова",Вопрос решен,1,0,0,0,0,0
3892632,5,"Благодарим, очень оперативно!",Понравилось выполнение заявки,0,0,0,0,1,0
3892659,5,"Быстро, мастеру большое спасибо",Нравится качество работы сотрудников,0,0,1,0,0,0
3892748,5,"Вопрос решен быстро, спасибо мастеру. Фото выполненной работы приложил и даже позвонил!","{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3892858,5,главное что проблема решена! спасибо!,Понравилось выполнение заявки,0,0,0,0,1,0
3892909,5,Спасибо.. все сделали быстро .. очень вежливые сотрудники. ,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3892910,5,"спасибо, что решили проблему оперативно ","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3893074,5,"Оперативно, внимательно, вежливо. Спасибо. ","{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3893110,5,"Спасибо, всё оперативно сделали!",Нравится скорость отработки заявок,0,0,0,1,0,0
3893437,5,Была распечатана бумажная квитанция.Хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение Самолет+УК,Нравится качество работы сотрудников,0,0,1,0,0,0
3893476,5,"Заявка быстра принята в работу. Проблема решена. Спасибо! 
","{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3893532,5,Молодцы! Быстро! 😁,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3893735,5, Спасибо большое за оперативность👍👍👍,Нравится скорость отработки заявок,0,0,0,1,0,0
3893860,5,"Спасибо большое,всех благ и процветание вашей компании ",Понравилось выполнение заявки,0,0,0,0,1,0
3893967,5,спасибо электрику,Нравится качество работы сотрудников,0,0,1,0,0,0
3894064,5,всё грамотно по полочкам объяснил,Нравится качество выполнения заявки,0,1,0,0,0,0
3894130,5,благодарю за быстро и качественно оказанную услугу,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3894191,5,Спасибо за оперативное решение вопроса! ,Нравится скорость отработки заявок,0,0,0,1,0,0
3894326,5,"Огромное спасибо, быстро и качественно ","{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3894440,5,спасибо за ремонт!,Нравится качество работы сотрудников,0,0,1,0,0,0
3894680,5,благодарю менеджера Татьяну ,Нравится качество работы сотрудников,0,0,1,0,0,0
3894684,5,благодарю менеджера ,Нравится качество работы сотрудников,0,0,1,0,0,0
3894714,5,сотрудники молодцы!,Нравится качество работы сотрудников,0,0,1,0,0,0
3894893,5,оперативно и качественно! браво!,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3894902,5,Спасибо огромное! Оперативно и качественно решили проблему! ,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3895042,5,"Поднималась сегодня с утра, запаха нет совсем. Спасибо большое ",Понравилось выполнение заявки,0,0,0,0,1,0
3895051,5,"Специалист проконсультировал, сориентировал по срокам.",Нравится качество работы сотрудников,0,0,1,0,0,0
3895064,5,"спасибо, быстро и качественно. ","{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3895519,5,Быстро и оперативно ,Нравится скорость отработки заявок,0,0,0,1,0,0
3895624,5,Оперативно. Пока работает ,Нравится скорость отработки заявок,0,0,0,1,0,0
3895634,5,"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением! ",Нравится качество работы сотрудников,0,0,1,0,0,0
3895794,5,Отличный сотрудник ,Нравится качество работы сотрудников,0,0,1,0,0,0
3895805,5,Спасибо Мастеру Олегу!,Нравится качество работы сотрудников,0,0,1,0,0,0
3895874,5,"Для точной оценки нужно пережить зиму и понять, лучше стало или нет",Вопрос решен,1,0,0,0,0,0
3895925,5,"Спасибо большое за оперативность!)👍 Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!)) 🤗","{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3896179,5,Быстро.Качественно.,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3896191,5,Спасибо большое всё решили быстро!,Нравится скорость отработки заявок,0,0,0,1,0,0
3896230,5,"оперативно, быстро .",Нравится скорость отработки заявок,0,0,0,1,0,0
3896480,5,"оказали не только услугу по приобретению ключа,но ещё установили приложение УК Самолёт!!!","{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3896509,5,Приходил мастер все отрегулировал большое спасибо ,Нравится качество работы сотрудников,0,0,1,0,0,0
3896614,5,Оперативно ,Нравится скорость отработки заявок,0,0,0,1,0,0
3896717,5,спасибо за консультацию,Понравилось выполнение заявки,0,0,0,0,1,0
3896735,5,"Парни (установщики) отработали на 5+, а вот упаковка не очень , тк не полный комплект фурнитуры (отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали)",Вопрос решен,1,0,0,0,0,0
3896818,5,Спасибо! Всё хорошо ,Вопрос решен,1,0,0,0,0,0
3896822,5,Все ок,Вопрос решен,1,0,0,0,0,0
3896870,5,Сразу бы так,Вопрос решен,1,0,0,0,0,0
3896928,5," Ответ получен. 
Спасибо, что результатом стало уточнение и меня поняли. 
",Нравится качество выполнения заявки,0,1,0,0,0,0
3896945,5,"Благодарю за обратную связь. 
За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. 
При звонке было вежливое, доброжелательное отношение. ","{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3896981,5,"Прислали на следующий день.
",Другое,0,0,0,0,0,1
3897000,5,Очень быстро отреагировали. Работа качественная!,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3897003,1,Ну устранено,Другое,0,0,0,0,0,1
3897016,5,спасибо за подсказки и внимательное отношение ,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3897067,5,Сантехник связался сразу. Вопрос решен. ,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",1,0,1,0,0,0
3897113,5,Спасибо технику),Нравится качество работы сотрудников,0,0,1,0,0,0
3897118,5,Благодарю.  Всё отлично 👍. ,Понравилось выполнение заявки,0,0,0,0,1,0
3897201,5,Сантехник был ,Нравится качество работы сотрудников,0,0,1,0,0,0
3897252,5,подсказали куда обратиться для решения вопроса,Понравилось выполнение заявки,0,0,0,0,1,0
3897281,5,Спасибо большое за информацию. Татьяна молодец!,Нравится качество работы сотрудников,0,0,1,0,0,0
3897654,5,"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю. ","{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3897730,5,Все было сделано быстро и качественно.,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3897831,5,"Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо ",Понравилось выполнение заявки,0,0,0,0,1,0
3898045,5,"Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!",Понравилось выполнение заявки,0,0,0,0,1,0
3898232,5,"да открыла спасибо
",Вопрос решен,1,0,0,0,0,0
3898417,5,"быстро позвонили, пришли все сделали,спасибо ","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3898427,5,"Молодцы, очень оперативно!!!!! Прям минус одна головная боль ",Нравится скорость отработки заявок,0,0,0,1,0,0
3898572,5,"Очень быстро, качественно. Спасибо! 🤝","{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3898709,5,спасибо большое за разъяснения и за оперативность,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3898761,5,"сотрудники работают на 5+ ! мгновенно обрабатываются заявки, ответ поступает сразу и всё решается.отличный сервис, очень приятно)","{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3898762,5,Быстро и понятно ,Нравится скорость отработки заявок,0,0,0,1,0,0
3899012,5,"Просто и удобно, а также быстро и экономия времени и ресурсов
.","{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3899842,5,Отлично все сделано 5 балов.,Понравилось выполнение заявки,0,0,0,0,1,0
3899902,4,"четвёрка за то что выслали только со второго раза. 
нужную квитанцию! ",Вопрос решен,1,0,0,0,0,0
3900150,5,спс,Вопрос решен,1,0,0,0,0,0
3900408,5,"Спасибо большое, все получила ",Понравилось выполнение заявки,0,0,0,0,1,0
3900525,5,"Спасибо ,очень оперативно ",Нравится скорость отработки заявок,0,0,0,1,0,0
3900539,5,"благодарю мастера, всё объяснил и дал рекомендации",Нравится качество работы сотрудников,0,0,1,0,0,0
3900559,5,Ребята молодцы,Нравится качество работы сотрудников,0,0,1,0,0,0
3900602,5,Спасибо за оперативное решение,Нравится скорость отработки заявок,0,0,0,1,0,0
3900869,5,Большое спасибо мастеру!,Нравится качество работы сотрудников,0,0,1,0,0,0
3900886,5,"к оказанию самой услуги и сантехнику претензий нет. а вот, то что отключения происходят регулярно - крайне негативно сказывается на впечатление о компании Самолет УК",Нравится качество работы сотрудников,0,0,1,0,0,0
3901101,5,"Специалист компетентно объяснил, что необходимо сделать таких случаях! Игорь Золотухин 👍",Нравится качество работы сотрудников,0,0,1,0,0,0
3901168,5,Быстро и чётко,Нравится скорость отработки заявок,0,0,0,1,0,0
3901182,5,Всё хорошо,Понравилось выполнение заявки,0,0,0,0,1,0
3901194,5,Владимир грамотно и здорово и быстро все сделал,Нравится качество работы сотрудников,0,0,1,0,0,0
3901238,5,Отличный сервис! ,Нравится качество выполнения заявки,0,1,0,0,0,0
3901257,5,"Спасибо! Сервис работает, это самое главное :)",Нравится качество выполнения заявки,0,1,0,0,0,0
3901356,5,"Все отлично,позвонили,ответ предоставили ",Понравилось выполнение заявки,0,0,0,0,1,0
3901414,5,Заявка была отработана в течение 5-ти минут.  Благодарю за оперативность!,Нравится скорость отработки заявок,0,0,0,1,0,0
3901446,5,Оперативное решение! Спасибо),Нравится скорость отработки заявок,0,0,0,1,0,0
3901616,5,"Татьяна оперативно решила вопрос,очень отзывчивая 👍",Нравится качество работы сотрудников,0,0,1,0,0,0
3901836,5,Все гуд,Вопрос решен,1,0,0,0,0,0
3901987,5,"Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо. ","{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}",1,0,0,1,0,0
3902000,4,"Спасибо что убрали надпись. Думал, будет аккуратнее ",Вопрос решен,1,0,0,0,0,0
3902088,5,все быстро и четко ,Нравится качество выполнения заявки,0,1,0,0,0,0
3902093,5,"Добрый день! Заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо! ","{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3902383,5,спасибо за помощь от подключившихся инженеров.,Нравится качество работы сотрудников,0,0,1,0,0,0
3902482,5,Замечательный мастер! Все очень оперативно и качественно. Добрый человек с золотыми руками! Огромное спасибо!!!,Нравится качество работы сотрудников,0,0,1,0,0,0
3902496,5,"Благодарю, хотя я уже давно просила и получаю на эл.почту, но почему-то ещё и бумажные получала.",Понравилось выполнение заявки,0,0,0,0,1,0
3902529,5,Вопрос был решен оперативно) спасибо большое!,Нравится скорость отработки заявок,0,0,0,1,0,0
3902558,5,Молодцы!,Вопрос решен,1,0,0,0,0,0
3902632,5,Все ок ) спасибо ,Вопрос решен,1,0,0,0,0,0
3902786,5,"красавцы, быстро,  оперативно,  очень приятно в общении ","{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3902795,5,Хорошее обслуживание),Нравится качество выполнения заявки,0,1,0,0,0,0
3903272,5,Оперативно как всегда ,Нравится скорость отработки заявок,0,0,0,1,0,0
3903349,5,"Большое спасибо , оперативно поставили ограничители ",Нравится скорость отработки заявок,0,0,0,1,0,0
3903374,4,"одну звезду сняла за то,что отличается цвет плитки)",Вопрос решен,1,0,0,0,0,0
3903406,5,спасибо! быстро и оперативно,Нравится скорость отработки заявок,0,0,0,1,0,0
3903436,5,"Горячая вода появилась.
",Вопрос решен,1,0,0,0,0,0
